hyper	row	n	lag	mse	sse	avg_df	r2
(0.01, 0.9000000000000001)	24	190	2	0.005189716850910807	0.9860462016730532	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	25	190	2	0.013593116243728042	2.5826920863083282	1.0	0.06658251828880357
(0.01, 0.9000000000000001)	26	190	2	0.008152145780875263	1.5489076983662995	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	27	190	2	0.00952729188332583	1.810185457831908	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	28	190	2	0.0057005705755168775	1.0831084093482066	2.0	0.7374390647958597
(0.01, 0.9000000000000001)	29	190	2	0.008334496339566084	1.5835543045175557	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	30	190	2	0.007858927805832812	1.4931962831082342	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	31	190	2	0.00025596005687846245	0.04863241080690786	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	32	190	2	0.001898568443246736	0.3607280042168798	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	33	190	2	0.006300824849452073	1.1971567213958938	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	34	190	2	0.0055479285590657144	1.0541064262224855	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	35	190	2	0.015150919962797587	2.878674792931542	1.0105263157894735	0.6665949034094081
(0.01, 0.9000000000000001)	36	190	2	0.011426398865324507	2.1710157844116567	3.0	0.7839058471025231
(0.01, 0.9000000000000001)	37	190	2	0.0014202246889451365	0.2698426908995759	0.0	-0.010610005319000138
(0.01, 0.9000000000000001)	38	190	2	0.010327411501665952	1.9622081853165307	1.0	0.10542727044308577
(0.01, 0.9000000000000001)	39	190	2	0.004663329856964538	0.886032672823262	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	40	190	2	0.009111407995851544	1.7311675192117932	1.0052631578947369	0.15096290207269414
(0.01, 0.9000000000000001)	41	190	2	0.011958948649419371	2.2722002433896806	2.0	0.19454910798483604
(0.01, 0.9000000000000001)	42	190	2	0.0125916956360644	2.392422170852236	1.0052631578947369	0.4565232025119826
(0.01, 0.9000000000000001)	43	190	2	0.008725946490243263	1.6579298331462198	2.0	0.3329700866766627
(0.01, 0.9000000000000001)	44	190	2	0.00672369655352946	1.2775023451705971	0.0	-0.010610005318999916
(0.01, 0.9000000000000001)	45	190	2	0.01295101085940313	2.4606920632865945	1.0105263157894735	0.5904085607351112
(0.01, 0.9000000000000001)	46	190	2	0.008757052100669873	1.663839899127276	3.863157894736842	0.6269887049090029
