gene	t00_rep1	t05_rep1	t1_rep1	t2_rep1	t3_rep1	t4_rep1	t5_rep1_impute-linear	t6_rep1_impute-linear	t7_rep1	t8_rep1	t10_rep1	t12_rep1
ENSG00000213139.6	1.23532587687	1.39178392361	1.57518047387	1.72603467267	1.52079298759	1.40120877069	1.38976249949	1.37831622829	1.3668699571	1.40033392132	1.58571340692	1.55621074312
ENSG00000163918.9	4.31205043362	4.3019397037	4.15889196974	4.20881342614	4.27976653711	4.31393227034	4.2169729212	4.12001357206	4.02305422292	3.94505273137	3.77395421646	3.71113006902
ENSG00000113916.16	2.20783292838	2.12767599909	2.61821740738	2.61774415976	2.44960577095	2.40219237842	2.431075919	2.45995945958	2.48884300017	2.81719971857	2.59319113685	2.63853439506
ENSG00000163347.5	4.86214851831	4.63623186344	4.19841164448	4.29260584933	4.24798116397	4.55050612501	4.38492159695	4.21933706889	4.05375254083	4.16294282062	3.90223994675	3.7383253048
ENSG00000114315.3	3.10918182558	2.71951805941	2.45052732722	2.17575087527	2.27536783424	2.39328644609	2.47246899851	2.55165155092	2.63083410334	2.38829536435	2.85949717035	2.76916905653
ENSG00000133657.13	4.71539106432	4.85453282834	4.27879310819	4.37607516298	4.48761430043	4.57152716566	4.42040296457	4.26927876348	4.1181545624	4.02616182866	3.95742246019	3.80326460606
ENSG00000185112.5	1.43050071495	1.68373881361	2.61489626757	2.38702604629	2.56965369112	2.46562631322	2.57234139112	2.67905646902	2.78577154692	2.94568892097	2.99093270817	3.1509557715
ENSG00000161217.10	3.59515604285	3.57875950659	3.7410544203	3.699215382	3.72336946714	3.60852904191	3.64608000054	3.68363095916	3.72118191779	3.83700183133	3.89851445575	3.86499346497
ENSG00000213123.9	4.00171291038	4.15070137603	3.76202255793	3.72796755372	3.7602800177	3.75230116137	3.69473019136	3.63715922135	3.57958825134	3.83244499418	3.69977540768	3.50894775238
ENSG00000163961.4	3.15615537625	3.2086938243	3.00403182848	2.98744604599	3.10038922566	3.0011800696	2.96144120809	2.92170234659	2.88196348508	3.00908688432	2.9242240963	2.85926120098
ENSG00000174007.7	2.80022376961	2.80203153776	2.13773246223	2.35845068879	2.42277740059	2.35028705224	2.35842541038	2.36656376851	2.37470212665	2.67078054982	2.37852352559	2.48939510462
ENSG00000075711.19	3.12192110008	3.18546751466	3.2137652432	3.22092191786	3.18839675081	3.04196933972	3.11399891658	3.18602849343	3.25805807029	3.42078043505	3.36018727093	3.31077543776
ENSG00000215375.5	1.22890312546	0.861654078931	1.20024512395	1.05812810076	1.2657817943	1.239282763	1.18289429138	1.12650581977	1.07011734815	1.28306072428	1.30979284932	1.52031610346
ENSG00000127419.15	1.31630210517	1.23527737835	1.59529265813	1.42579577882	1.35017815986	1.31942866633	1.35074953892	1.38207041151	1.4133912841	1.75594109746	1.68765001231	1.81313599895
ENSG00000127415.11	1.98194066469	1.72017437001	2.06798481645	2.07800526687	1.66205667855	2.05046320743	2.04848099722	2.046498787	2.04451657678	2.13276371914	2.13485916306	2.32256043985
ENSG00000127418.13	2.32403832774	2.66254922895	2.51207918034	2.45244668927	2.42491415129	2.41363585189	2.38972605205	2.36581625221	2.34190645236	2.34498388102	2.21237167481	2.09590032375
ENSG00000163950.11	5.41219893299	5.44023235109	5.44680111812	5.45539861593	5.63506684987	5.66750042995	5.52448789995	5.38147536994	5.23846283993	5.0844218976	5.01820482628	4.9996648193
ENSG00000168936.9	3.20682095374	3.27781191619	3.35630786925	3.4089832523	3.46096213154	3.34604919489	3.35692313052	3.36779706615	3.37867100177	3.47923400519	3.60280091043	3.58979759481
ENSG00000013810.17	3.68704714717	3.75801701328	3.46320374281	3.53040756641	3.53922433939	3.63101428172	3.5709821359	3.51094999008	3.45091784427	3.46803183525	3.33488103342	3.29146528773
ENSG00000109685.16	3.28666050737	3.4480192139	3.26647232393	3.28794688952	3.3076719366	3.33760464002	3.27884307	3.22008149998	3.16131992996	3.06573359846	3.0332746739	2.97766895257
ENSG00000123933.13	2.5694779733	2.44716584625	2.79677998156	2.74151059038	2.68100735274	2.55488616083	2.66369172846	2.77249729609	2.88130286372	2.91172089449	3.01608935449	3.16573111177
ENSG00000159788.17	1.55139067119	1.65634087526	1.41845472247	1.60908745212	1.50490062351	1.48644291088	1.45239322705	1.41834354322	1.3842938594	1.39686597159	1.25631703494	1.28053931603
ENSG00000145220.12	3.69426631658	3.73030844206	3.5610875584	3.61340567237	3.51816634168	3.66449827942	3.67153529028	3.67857230114	3.685609312	3.55809784327	3.48991809218	3.49703808734
ENSG00000168824.13	-0.0728594382711	0.279619757233	1.64753573657	1.23316594952	1.74171016916	1.04253812397	1.28915390243	1.53576968089	1.78238545936	1.50264632497	1.99091664455	2.37272455122
ENSG00000152953.11	2.50484737775	2.59236484867	2.36766685733	2.57905361988	2.74346545645	2.80973695893	2.52355957001	2.23738218108	1.95120479216	2.06134282354	1.82881398961	1.29712077213
ENSG00000074211.12	3.41818272953	3.55688977852	3.32907957571	3.3467693307	3.38351385003	3.37317340973	3.35476765343	3.33636189712	3.31795614081	3.33018948767	3.19099613987	3.20184682899
ENSG00000163993.6	3.2299145658	3.3010253249	4.79305492847	4.26939393194	4.26647317887	3.94690364448	4.2545122544	4.56212086432	4.86972947424	4.36978324916	5.29852600224	5.63852616046
ENSG00000170871.10	3.671974692	3.84235761611	4.23777003096	4.29486433943	4.47417048782	4.2889357079	4.24529125574	4.20164680357	4.15800235141	4.15924467655	4.12805454903	4.11047465174
ENSG00000132405.17	4.11511433612	4.17577908791	4.25301194385	4.15453289747	4.22994933194	4.2639324618	4.27981277626	4.29569309072	4.31157340517	4.13273584596	4.19422081415	4.0635716213
ENSG00000184985.15	1.70061118905	1.76636214876	1.71714880346	1.75158630777	1.76437368271	1.69651459333	1.67807372539	1.65963285745	1.64119198952	1.67219534428	1.46184226952	1.62120660664
ENSG00000196526.9	3.7041957098	3.82080179361	3.17922468097	3.19652161237	3.01919314705	3.20082472777	3.17676770283	3.15271067789	3.12865365295	3.17080181661	3.20027015708	3.09120388578
ENSG00000125089.15	1.04207799797	1.21907995613	2.02390787057	2.07357331802	1.72325351453	1.73620672919	1.86871187914	2.00121702909	2.13372217904	2.22485600609	2.16433711854	2.59669560196
ENSG00000170801.8	2.08818107768	2.20266814222	2.34878191482	2.30002054293	2.10601439645	2.11022461029	2.13599169892	2.16175878754	2.18752587616	1.94607533482	2.22414169997	2.32252191106
ENSG00000137449.14	4.12648208774	4.04819647477	3.39675652328	3.36743256944	3.38530709134	3.17343145385	3.25842748204	3.34342351022	3.4284195384	3.58170284414	3.44622918411	3.32548439904
ENSG00000237765.5	2.58157418235	2.39632335699	2.33114654321	2.26133915172	2.41919191083	2.49456189002	2.42912702234	2.36369215466	2.29825728699	2.29513724424	2.33515121746	2.0982823537
ENSG00000004468.11	2.81597362603	2.81128596784	3.41344209224	3.29975928337	3.16891712618	2.97836494156	3.14807432194	3.31778370232	3.4874930827	3.55239567941	3.50564694722	3.43403300664
ENSG00000137440.4	2.11515784186	1.19596334243	1.1818654578	1.57192680416	1.28902817406	1.14954444756	1.23540991241	1.32127537725	1.4071408421	1.89997482993	0.906068622766	1.2820501677
ENSG00000169762.15	2.81408180929	2.92173185064	2.73262177781	2.80923125599	2.8221265382	2.55371373934	2.61454834903	2.67538295873	2.73621756842	2.74088939185	2.77452851658	2.60973914029
ENSG00000109805.8	4.74920175743	4.9713609734	4.78643253809	4.73398979953	4.94177321764	4.94744492507	4.84499574841	4.74254657176	4.6400973951	4.53257416381	4.4707600304	4.17854256417
ENSG00000109606.11	5.12064065616	5.13504016169	5.06469574905	5.0730609831	5.01995825755	5.05501058123	5.02228474489	4.98955890855	4.9568330722	4.87424373713	4.93389026286	4.79998181227
ENSG00000250317.7	4.30132284217	4.43447607605	4.20416283099	4.13958672033	4.25481394731	4.32420182089	4.28471043253	4.24521904417	4.20572765581	4.12375466835	4.17395234088	3.9498934287
ENSG00000109680.9	2.56857483452	2.6894309905	2.4307940777	2.57679767585	2.56679205175	2.61030257329	2.6369439942	2.66358541511	2.69022683603	2.58633494037	2.63135766152	2.73087484815
ENSG00000181826.8	2.72565278833	2.84122183662	2.62774764328	2.80115134728	2.95771459587	2.85752052457	2.75654950527	2.65557848596	2.55460746666	2.55869972004	2.55640635822	2.441711768
ENSG00000169299.12	3.65191893696	3.76703995723	3.8435730799	3.81159105445	4.0000844804	3.89158560449	3.91862007496	3.94565454543	3.9726890159	3.92880191694	3.99275143962	3.86129142537
ENSG00000174130.11	2.72773472723	2.76558367857	2.06258793503	2.04735385063	1.82183084227	2.05549814186	2.09669414242	2.13789014297	2.17908614352	2.12613335726	2.03923526215	2.04551383295
ENSG00000157796.16	2.47941886738	2.53326353374	2.31489236157	2.43325574448	2.40167747869	2.40529264632	2.42598467926	2.44667671221	2.46736874515	2.54940733984	2.54751371126	2.53746930029
ENSG00000035928.13	4.37525684838	4.38805213726	4.25000814508	4.25409190919	4.28341419665	4.27519689842	4.24977156688	4.22434623534	4.19892090379	4.26403853764	4.10131808945	4.08597758258
ENSG00000134962.6	1.78585055216	1.36825378839	0.978321603589	1.18645116794	1.18143854348	0.866909673423	0.923255032575	0.979600391728	1.03594575088	1.40048086604	0.825053362379	0.810661426888
ENSG00000163683.10	3.96668360871	4.03779529284	3.64924252455	3.74305591312	3.76950433862	3.66436906029	3.64818667375	3.63200428722	3.61582190068	3.81040799594	3.82105650903	3.87638107131
ENSG00000145246.12	2.26833037696	2.23395383889	2.04292669473	1.96497952607	2.07516143734	1.9951210945	2.01958883628	2.04405657807	2.06852431985	2.25172549533	2.24206765944	2.21809717119
ENSG00000145248.6	3.39432445831	3.51384666379	3.14238665348	3.21695809638	3.27567931579	3.26109809657	3.25692085635	3.25274361614	3.24856637592	3.08392835443	3.0540949598	3.00122312379
ENSG00000145247.10	4.24536333642	4.21622091786	4.0188943079	4.02868601376	4.1420623773	4.17874494931	4.08377434973	3.98880375015	3.89383315057	3.85468845827	3.84697799854	3.86332584245
ENSG00000163069.11	4.40628310879	4.51926744025	4.27570063859	4.37987942863	4.35605430832	4.30283408101	4.30832190208	4.31380972315	4.31929754423	4.42853189668	4.33008410742	4.25122361294
ENSG00000128039.9	2.19658486719	2.37392287244	2.29395114121	2.28692550801	2.58561869345	2.51200861631	2.42311183882	2.33421506134	2.24531828385	2.48475032488	2.54598386263	2.3791134903
ENSG00000134851.11	3.9709297718	3.93082909049	4.02798017424	4.04927040475	4.09707072017	4.03966837553	4.05828845	4.07690852446	4.09552859892	3.98422719362	4.2238231939	4.13749201668
ENSG00000090989.16	3.70977077636	3.84480045271	3.74837967327	3.71483520823	3.76984652424	3.65387359989	3.72267065164	3.7914677034	3.86026475515	3.8694274981	3.92559582487	3.93160051759
ENSG00000174799.9	2.84649618871	2.98317379335	2.51408490092	2.59275617489	2.68103146833	2.74866573478	2.68253398896	2.61640224315	2.55027049734	2.52781280856	2.38687819186	2.33246496505
ENSG00000156136.8	4.73610840345	4.95298957205	4.70038873769	4.50214306067	4.81380220987	4.91278605299	4.76758950111	4.62239294924	4.47719639737	4.31455025707	4.23048797951	3.94175390464
ENSG00000081051.6	1.25063486358	1.23660573323	1.2322080201	1.17116653589	1.2251260969	1.25890561591	1.20262056313	1.14633551035	1.09005045758	1.02526357107	0.912502786083	0.851818498251
ENSG00000169429.9	2.11203708928	1.67840365179	1.06143292443	0.96533656299	0.087140048502	0.443777204194	0.729706226161	1.01563524813	1.3015642701	1.286880695	1.02533867805	1.26852336833
ENSG00000163739.4	2.16198604006	2.42192380813	1.55043968133	1.46897488704	0.799237390272	1.09550123587	1.28942201528	1.4833427947	1.67726357411	1.65751524419	1.81119787049	1.72541394148
ENSG00000163735.6	6.48931314086	6.123505687	5.79048231396	6.06026213687	6.03455535888	6.21876649918	5.97724710373	5.73572770828	5.49420831282	5.73469774745	5.28942265242	5.0425908902
ENSG00000081041.8	1.58371828173	2.46524025229	2.09331862472	1.94268871627	1.98654060527	1.84587183666	1.96649763208	2.0871234275	2.20774922292	1.74907913147	2.67880478029	2.21807745888
ENSG00000124882.3	5.14385301375	4.78100326494	3.78511461473	3.78764439112	3.20769788433	3.56231745965	3.64392380395	3.72553014824	3.80713649253	3.9442562398	3.75790561073	3.76950739577
ENSG00000109321.9	4.26091109597	4.25649507397	3.37413064972	3.53297647247	3.14530102079	3.3701827248	3.31831449311	3.26644626142	3.21457802972	3.38962347872	3.24578930168	3.22611081774
ENSG00000118804.8	0.620133501506	0.997666059566	1.31919727746	1.09304903595	1.0190152311	1.12117363374	1.20419970687	1.28722578001	1.37025185314	1.29873958961	1.35357392574	1.35082739165
ENSG00000138771.13	2.38023721739	2.58491631909	3.12911759991	3.09067221575	3.05124428242	2.98535307183	3.10460612117	3.22385917051	3.34311221985	3.37066761719	3.37450174112	3.33610233813
ENSG00000138764.12	2.3088940654	2.46293950222	2.2136528838	2.20844890614	2.31637426824	2.24125523138	2.26124392816	2.28123262495	2.30122132173	2.47597347826	2.55224815793	2.50378405863
ENSG00000138759.16	2.07776721285	2.35255497477	1.89364083254	1.69646628049	1.69112405304	1.72207076199	1.77239316661	1.82271557122	1.87303797584	2.03680251926	1.81275353086	1.53095162083
ENSG00000138772.11	4.97578086679	4.8775396953	4.81668578938	4.90462376234	4.75391852239	4.8264738704	4.78959142414	4.75270897788	4.71582653162	4.99977260144	4.75566193639	4.77235650692
ENSG00000138756.16	3.1592960902	3.3687633884	3.19648016951	3.1540349647	3.16018303575	3.10566203067	3.13594786503	3.16623369939	3.19651953374	3.04813884311	3.0545575688	2.87333450623
ENSG00000145284.10	3.20792621294	3.27451502193	2.89479877429	3.09645301819	2.99400490708	2.96179351857	2.96632658265	2.97085964672	2.9753927108	3.13488298199	2.85348147175	2.97201614543
ENSG00000138678.9	4.25895493296	4.19150050653	4.31303677009	4.17905970989	4.40724096925	4.39890774787	4.40463189776	4.41035604765	4.41608019754	4.22725519929	4.57734509284	4.28257623406
ENSG00000163624.5	1.72753213845	1.62551872872	1.23008257646	1.36332154871	1.54880471613	1.59782625425	1.46055963485	1.32329301545	1.18602639604	1.47369531107	1.2272628985	1.26809503519
ENSG00000138639.16	1.28411742535	1.02737078642	1.52093781899	1.07272599555	1.19421656896	1.2192983981	1.27982480876	1.34035121942	1.40087763008	1.40800179859	1.43334802604	1.49627718518
ENSG00000163633.9	1.30574740075	1.27519756535	1.19089012698	1.49234431026	1.60271941934	1.40053211846	1.37371482876	1.34689753906	1.32008024937	1.36766175601	1.54596143323	1.66304560734
ENSG00000172493.19	3.5140792555	3.7626303943	3.71511053952	3.57486596705	3.66223334604	3.4832244355	3.5881231929	3.6930219503	3.79792070771	3.82752062206	3.86185244458	3.90109003599
ENSG00000145332.12	3.04527061088	3.11231367033	2.7865323961	2.87758601797	2.95754810841	2.87536592954	2.86706114593	2.85875636233	2.85045157872	2.88932405174	2.794726778	2.60096368516
ENSG00000138641.14	2.68608580311	2.78167474026	3.00846370591	2.82429112461	2.94987880896	2.75945597082	2.86317469476	2.96689341871	3.07061214266	3.15754062981	3.23230561509	3.25220162953
ENSG00000180346.3	3.27230842141	3.52263612113	3.40923166014	3.3537625297	3.57438823509	3.54359952291	3.43007243818	3.31654535344	3.20301826871	3.43998625187	3.24941879638	3.1747657896
ENSG00000168785.6	2.90873137234	2.80719429531	2.37407069789	2.57909951282	2.62207637315	2.77529113918	2.52885573634	2.2824203335	2.03598493067	2.3518635379	1.91241508411	1.75385183926
ENSG00000151247.11	2.63235317356	2.66738813266	2.54923522298	2.55183203947	2.59578762681	2.53956402989	2.54905576085	2.5585474918	2.56803922276	2.5207729605	2.5937286288	2.52917435761
ENSG00000109270.11	2.80672418217	2.71002333669	2.76997274289	2.81059097496	2.99001632108	2.84932436994	2.87318126662	2.89703816329	2.92089505997	2.76525049081	2.83408822771	2.65145550334
