gene	t00_rep4	t05_rep4	t1_rep4	t2_rep4	t3_rep4	t4_rep4	t5_rep4	t6_rep4	t7_rep4	t8_rep4	t10_rep4	t12_rep4
ENSG00000153071.13	2.93433174088	2.86654607762	3.00926194798	2.83202996605	2.62301005203	2.53658368206	2.35618391289	2.3285116625	2.77994639569	2.74481156733	2.67972951639	2.93702156473
ENSG00000171522.5	1.26751821469	0.94884129384	2.201298217	2.4740895333	2.41202718249	2.49121034075	2.36163667299	2.33019753508	1.99704107346	1.72697430619	2.27985837311	1.99449545033
ENSG00000182836.8	1.73835663272	1.81086910226	1.79103439844	1.58026768866	1.71955389942	1.59646261022	1.18571799513	1.44004789543	1.7571183744	1.43614294492	1.15296810441	1.78053677334
ENSG00000151881.13	4.04945568617	4.14573681572	4.05908032783	3.99230919704	4.04988971881	4.08384298254	4.01951132574	4.01324785391	4.18125440622	4.13261073271	4.22740804011	4.26725344505
ENSG00000172244.7	3.15666503405	3.20474848773	3.23290901901	2.97987669318	3.10994976221	2.99869125404	2.88875029478	2.8730622565	3.02482139374	2.99543192833	2.7742054685	2.76667877751
ENSG00000112992.15	3.36013025367	3.32525632779	3.35070511159	3.27431976202	3.26023607464	3.2341228314	3.25898436184	3.26183326456	3.3504762188	3.3787346833	3.42454899651	3.45719950413
ENSG00000213949.7	1.88001298485	1.90317928514	1.76058240491	1.85278161901	1.76463535314	1.94582160314	2.00685041115	2.11860034114	1.99291344697	1.96344866839	2.40863490779	2.34748187057
ENSG00000134363.10	2.52326997633	2.51451176702	2.28097757686	1.77328378161	1.45292461878	1.22143398322	0.903858142579	0.921381525421	0.996611411746	1.29054905228	0.415958450029	0.884955707869
ENSG00000067113.15	4.50197539767	4.65398913725	4.59150904783	4.44694347763	4.54080717036	4.69200641137	4.6294648227	4.88136538241	4.79404153144	4.75898011006	4.7488711079	5.04015979867
ENSG00000134352.18	5.5774482832	5.61025594435	5.55995920933	5.65729885737	5.7592342975	5.84927161022	5.87912129418	6.00989388497	5.81940607638	5.84090019826	6.18442525295	6.05164961392
