gene	t00_rep2plusextra	t05_rep2	t1_rep2	t2_rep2	t3_rep2	t4_rep2	t5_rep2	t6_rep2	t7_rep2	t8_rep2	t10_rep2	t12_rep2
ENSG00000137449.14	4.19591016297	4.05281037857	3.57351165649	3.04724157402	3.13927937267	3.34021080537	3.46238908436	3.30113263337	3.38664564969	3.33826687675	3.40032818255	3.61949927711
ENSG00000237765.5	2.51942661418	2.43218217186	2.68261453875	2.24247281661	2.42315096355	2.37070338348	2.29695408463	2.3181754027	2.21208261228	2.06579973136	2.10298255265	2.40116709049
ENSG00000004468.11	3.0701050428	2.81474798863	3.09680539539	2.99354553132	3.20505698085	3.39485291801	3.47070791638	3.55642090003	3.52209737758	3.44621461866	3.41541517551	3.51950271016
ENSG00000137440.4	2.11605848104	1.34805092236	1.8951868973	1.6326744589	1.43960419885	1.09434100836	0.880192287364	1.14046160456	1.07248741962	0.905939775202	0.748356753503	1.61362780537
ENSG00000169762.15	2.82403642416	2.89391203457	2.68406844876	2.65752769188	2.54548934982	2.71318414918	2.80071195714	2.64036973832	2.8592629728	2.53394586341	2.74206482882	2.74459918435
ENSG00000109805.8	4.81110589332	4.83773644772	4.9350495942	4.86257673534	4.88408851143	4.88260056999	4.82321300772	4.76778515656	4.60056423654	4.62108958364	4.44652737409	4.34227825038
ENSG00000109606.11	5.15896007689	5.13326852967	5.17836595477	5.04453654314	5.05695744841	5.03250718227	5.01384390875	4.96828454526	4.93787058486	4.93608069537	4.83415978235	4.92699499089
ENSG00000250317.7	4.36401616313	4.43378922389	4.41600456866	4.2449696349	4.14504657671	4.15627942629	4.2524900772	4.2196702909	4.18289482852	4.07391826888	4.10202883619	4.17974638616
ENSG00000109680.9	2.72903869452	2.61856359398	2.4447289098	2.49899539284	2.51354901435	2.59852723387	2.72611999069	2.73247480539	2.62858638206	2.52962280433	2.5873769545	2.75637341306
ENSG00000181826.8	2.5745803486	2.56418820291	2.91904145905	2.87564641971	2.9000501009	2.67320792989	2.77448303332	2.56634508045	2.4309612998	2.51990803704	2.46862073743	2.50934600689
ENSG00000169299.12	3.77946716343	3.86830199757	3.74265250609	3.80660934885	3.83134214948	3.83828143551	4.04307862786	3.93040699657	3.98776355832	3.77807079475	3.90725434183	4.09456841254
ENSG00000174130.11	2.55155018148	2.58413539903	2.75568802222	2.13818859828	1.96748856573	1.89489386203	1.94907702429	1.79339005465	1.94255481526	1.93257629813	1.74054617718	2.09868297344
ENSG00000157796.16	2.48738158226	2.49805416399	2.52536666599	2.46524503435	2.44016524395	2.36021712144	2.3568779494	2.42149011611	2.39599190229	2.35332080178	2.54180645299	2.60697686141
ENSG00000035928.13	4.32769035299	4.34949184267	4.45934004475	4.36517614525	4.40925046355	4.26844104267	4.15823141993	4.13672697003	4.14222779469	4.22470411109	4.09549144781	4.16510466792
ENSG00000134962.6	1.39699107809	1.2356127943	1.48840325047	1.21842857035	1.22752299494	1.1428481042	1.14252459042	0.882128225306	1.05650046778	0.906803951434	0.768556430838	1.02226155787
ENSG00000163683.10	4.1137454113	4.08884878739	3.866855863	3.85105479474	3.69657468649	3.68701919619	3.64990863688	3.59346716593	3.72942441889	3.64277130342	3.68861347821	3.89849029082
ENSG00000145246.12	2.17960431539	2.27137145896	2.10612523659	2.00681923878	1.84322625505	1.86870594035	1.86102731205	1.99156130804	2.16523185719	1.93634786026	2.13687600829	2.27795838383
ENSG00000145248.6	3.35216671279	3.43545330501	3.32791652319	3.31739333966	3.28392143516	3.33939233817	3.21516057186	3.23997529032	3.18437074762	3.1440876872	2.94369238811	3.17108373432
ENSG00000145247.10	4.14858596836	4.17453270423	4.40063849031	4.02816292089	4.05787190012	4.00897610352	4.14451863053	3.9804434246	3.97630166137	3.66500622985	3.75390078636	4.04103097914
ENSG00000163069.11	4.44150684957	4.48292108452	4.52586766671	4.33900959506	4.39544132468	4.44274131234	4.41412726261	4.31184612634	4.39319376092	4.16738538982	4.25995668889	4.36763237602
ENSG00000128039.9	2.26555986408	2.42110067134	2.36941729206	2.21487277365	2.32917034902	2.41973348402	2.56843934912	2.43497720041	2.43025815233	2.43569187024	2.47927444141	2.40942560766
ENSG00000134851.11	4.03678923797	4.06372898808	3.96266513755	4.00233554544	3.93310374897	3.96946345977	4.03775790546	4.02742114153	4.12622142493	4.0007331392	4.17025968787	4.26221690715
ENSG00000090989.16	3.74737446887	3.79104157372	3.91977111523	3.72184489238	3.81462679994	3.77584733599	3.85006055433	3.81227628068	3.85643978405	3.8180055492	3.85539257405	4.05172565539
ENSG00000174799.9	2.72780568359	2.76880359624	3.011152219	2.61138158017	2.74723638678	2.79372325278	2.715980858	2.65755379285	2.48029497762	2.37007222769	2.2490413831	2.38793776078
ENSG00000156136.8	4.79640169966	4.85185500886	5.01916107269	4.65526619909	4.62660069377	4.72326622057	4.76220077457	4.49588857001	4.43690481684	4.09438610916	4.10647824262	4.25590097682
ENSG00000081051.6	1.01169114902	1.30224675994	1.34991398188	1.02324672087	1.18175347201	1.2392455067	1.26448536887	1.13029482314	0.9213188709	0.906895333869	0.810968360736	0.754756596017
ENSG00000169429.9	1.8244075982	1.80429721799	0.935760927963	0.357304956787	0.644144472606	0.754438164567	1.04990068878	0.867678388451	1.44697421123	0.892529339509	1.16185698723	1.31309039289
ENSG00000163739.4	2.41989857063	2.12701377275	1.55106856874	1.08349317691	1.33303318463	1.16712126731	1.4428866292	1.54519912766	1.7158381879	1.64611877799	1.74436025469	1.78394497755
ENSG00000163735.6	6.47077468649	6.31036274806	6.37067419276	5.75260072022	5.75295313049	6.00708768476	5.81670586813	5.60816834478	5.55728931507	4.88866926499	5.07534023649	5.49955886137
ENSG00000081041.8	1.5145753034	2.51283812535	1.92374496596	2.11834702036	2.19640349488	2.19186727173	2.07630088169	2.02191038951	2.2843509989	1.93953633126	2.08550082715	2.23982794383
ENSG00000124882.3	5.07290247659	4.84175688793	4.40635601532	3.24194231496	3.2151141805	3.33511396155	3.483852173	3.61890682064	3.69912566227	3.60977837633	3.58436571674	3.99241791861
ENSG00000109321.9	4.19089718613	4.21440757367	4.15913768224	3.46464931747	3.17708238007	3.14453441551	3.10534825546	3.10866350533	3.20186746333	3.29151665412	2.87329519059	3.43633364406
ENSG00000118804.8	0.547046996428	0.705239080412	0.954412480859	1.29277599074	1.50643937708	1.29428720546	1.22032645906	1.25131834908	1.483851017	1.39792817854	1.45137886095	1.29968389817
ENSG00000138771.13	2.52400772561	2.57013247562	2.66426083787	2.98046102395	3.20010816547	3.29945468151	3.47862887495	3.32603848169	3.50002607275	3.28850361978	3.46942688743	3.48996751864
ENSG00000138764.12	2.35672990424	2.33428208719	2.35375514602	2.54844688422	2.38531825291	2.31280181226	2.2416160368	2.18531741679	2.30188992562	2.3819550522	2.43228018006	2.52354894522
