row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
59	(0.001, 0.30000000000000004)	0.8149374695517759	0.0011947781943094165	0.2270078569187891	190	61	1.96615230025298	5.094995806553815e-05	0.01
60	(0.001, 0.30000000000000004)	0.8580010783184109	0.0007747308690931595	0.1471988651277003	190	55	1.9908269553773397	6.671594035551065e-05	0.012
61	(0.001, 0.30000000000000004)	0.8846073632218971	0.00168659763491002	0.3204535506329038	190	78	1.8294340532834952	0.0002225452758753965	0.012
62	(0.001, 0.30000000000000004)	0.8611582396723061	0.0015819837820909256	0.3005769185972758	190	69	1.8438955392753684	0.00010160969593925319	0.01
63	(0.001, 0.30000000000000004)	0.8447701064384536	0.001285416795952072	0.2442291912308937	190	64	1.8152049422434455	0.00012476313580050966	0.011000000000000001
64	(0.001, 0.30000000000000004)	0.8081677222132051	0.001357815227253033	0.2579848931780763	190	73	2.035476864417989	9.328929536051024e-05	0.015
65	(0.001, 0.30000000000000004)	0.8508907255147631	0.0012207269421614403	0.2319381190106737	190	61	1.906565307960116	9.00412568669018e-05	0.01
66	(0.001, 0.30000000000000004)	0.7236206397157362	0.0012141430959295928	0.23068718822662265	190	63	2.0616310458517777	5.92611851953917e-05	0.011000000000000001
67	(0.001, 0.30000000000000004)	0.7950721782930121	0.0015242436509006762	0.2896062936711285	190	64	2.129336994978292	0.00013392139506707146	0.011000000000000001
68	(0.001, 0.30000000000000004)	0.9144196541081968	0.0013954775237567762	0.2651407295137875	190	67	2.084794369083009	0.0002755307399103235	0.022000000000000002
69	(0.001, 0.30000000000000004)	0.7999239541734005	0.0009638188267249758	0.1831255770777454	190	51	2.159247240465206	4.10566204738505e-05	0.011000000000000001
70	(0.001, 0.30000000000000004)	0.9474259088895028	0.001362156763569552	0.2588097850782149	190	86	2.032015774109561	0.0004285441762963416	0.017
71	(0.001, 0.30000000000000004)	0.960174262737265	0.0013731813013402247	0.2609044472546427	190	72	2.1664544231819955	0.00047577933245557263	0.023
72	(0.001, 0.30000000000000004)	0.915319915457754	0.0013378825625985663	0.2541976868937276	190	64	2.1407974530440383	0.00019123861345810006	0.013000000000000001
73	(0.001, 0.30000000000000004)	0.9561369128608604	0.0017636584531035206	0.33509510608966897	190	77	2.133558531389263	0.0007447769364314906	0.02
