row	hyper	r2	mse	sse	n	df	DW:Lag1	dual_gap	time
75	(0.001, 0.30000000000000004)	0.9406470984260138	0.00225286464441646	0.4280442824391274	190	58	1.8724809802221376	0.0005065203875069813	0.029
76	(0.001, 0.30000000000000004)	0.9601212850180475	0.0009524104370497978	0.1809579830394616	190	41	2.0330027189886057	0.00044292462170231195	0.017
77	(0.001, 0.30000000000000004)	0.8144988897555407	0.0010123765511407046	0.19235154471673388	190	34	2.03513101017515	1.8608873386838365e-05	0.01
78	(0.001, 0.30000000000000004)	0.8981611989815907	0.0012011447755388028	0.22821750735237253	190	36	1.786120431600862	0.00012563102521598313	0.024
79	(0.001, 0.30000000000000004)	0.8369058405179989	0.0012614255729662335	0.23967085886358436	190	40	1.9221842507765634	6.088378910651393e-05	0.014
80	(0.001, 0.30000000000000004)	0.7559483294613658	0.0014874615732216922	0.2826176989121215	190	51	2.1002618799957737	9.208513458403011e-05	0.016
81	(0.001, 0.30000000000000004)	0.7037365493022844	0.0007102618412121475	0.13494974983030802	190	30	2.1014011512668787	2.8976358532162294e-05	0.019
82	(0.001, 0.30000000000000004)	0.8276996674605412	0.00240963355949784	0.45783037630458956	190	63	1.9503649055007066	0.0002234460491042367	0.024
83	(0.001, 0.30000000000000004)	0.7584090626665194	0.0009091334921993366	0.17273536351787397	190	41	1.8485130625816797	6.75032645009177e-05	0.029
84	(0.001, 0.30000000000000004)	0.7553429650522727	0.0016527205337877186	0.31401690141966654	190	42	2.014471408077581	0.00010684907809821453	0.022
85	(0.001, 0.30000000000000004)	0.7296697077987355	0.000880757871785184	0.16734399563918495	190	35	1.7025749001142703	3.351959773417734e-05	0.015
86	(0.001, 0.30000000000000004)	0.8549260482981391	0.0005958890679964385	0.11321892291932331	190	30	1.9868164956629322	4.09368440824065e-05	0.008
87	(0.001, 0.30000000000000004)	0.8158745188793126	0.0013668755179751177	0.25970634841527235	190	48	2.141873531116395	0.00013885784300782245	0.025
88	(0.001, 0.30000000000000004)	0.9446997179025848	0.002322515481305355	0.44127794144801746	190	58	1.708769053539641	0.0005979762522591581	0.014
89	(0.001, 0.30000000000000004)	0.8592920509217012	0.0022197975724110646	0.4217615387581023	190	51	1.821841108938435	0.00019439969088203002	0.014
90	(0.001, 0.30000000000000004)	0.8199586222303056	0.002229952145690276	0.4236909076811525	190	53	2.056740207585708	0.0002209251821951863	0.016
91	(0.001, 0.30000000000000004)	0.6707864673914121	0.0013741801807891669	0.2610942343499417	190	41	1.9239790112153106	6.655163336954928e-05	0.082
92	(0.001, 0.30000000000000004)	0.8603656518888831	0.0017000132663452232	0.3230025206055924	190	49	1.8695984943064612	0.0001428052544166225	0.026
93	(0.001, 0.30000000000000004)	0.8466924863305239	0.0013953751082212084	0.2651212705620296	190	43	1.8888069159709533	6.565298193822455e-05	0.013
94	(0.001, 0.30000000000000004)	0.7772419972594962	0.001823323068069114	0.3464313829331317	190	61	1.8827573503541533	0.00011417993806844828	0.02
95	(0.001, 0.30000000000000004)	0.5894829681253029	0.001916540555589111	0.36414270556193107	190	43	2.0807012652377934	7.97870867619288e-05	0.02
96	(0.001, 0.30000000000000004)	0.4758159493110381	0.0010803240477038996	0.2052615690637409	190	29	1.9188434978215623	1.817647130863964e-05	0.009
97	(0.001, 0.30000000000000004)	0.8105206617337077	0.002867478620202223	0.5448209378384223	190	59	2.0180392494782313	0.00026909766308158556	0.022
98	(0.001, 0.30000000000000004)	0.8443834293860577	0.001703030931154959	0.32357587691944223	190	44	2.1951727652782846	0.0001470090549801628	0.02
99	(0.001, 0.30000000000000004)	0.7129010871787784	0.0020916427019133928	0.39741211336354465	190	53	1.8408006750180173	0.00010096386420027637	0.018
